TC_ST_AUTH_01,Đăng ký tài khoản mới,"Hiển thị thông báo ""Đăng ký thành công"" và chuyển hướng tới Login","Hiển thị thông báo ""Đăng ký thành công"" và chuyển hướng tới Login",Passed,Manual,QA Team,7/31/2026,Auth,"1. Mở trang Đăng ký
2. Điền thông tin hợp lệ
3. Click Đăng ký
4. Kiểm tra URL và thông báo",user3@gmail.com,
TC_ST_PROD_11,Xem sản phẩm liên quan,Hiện 4 sản phẩm cùng Category,Chưa có,Failed,Manual,QA Team,7/31/2026,Product Flow,"1. Vào màn hình Chi tiết sản phẩm
2. Cuộn chuột xuống cuối trang
3. Kiểm tra section ""Sản phẩm tương tự""
4. Xác nhận số lượng là 4 SP",Category = Giày chạy,
TC_ST_PROD_12,Đọc đánh giá sản phẩm,Hiển thị list comment,Chưa có,Failed,Manual,QA Team,7/31/2026,Product Flow,"1. Vào trang chi tiết sản phẩm
2. Click tab Đánh giá & Bình luận
3. Kéo xuống đọc các Review cũ
4. Xác minh hiển thị tên người Đánh giá",N/A,
TC_ST_PROD_12,Hiển thị Tab Thể thao,"Chuyển sang tab Thể thao, hiển thị đúng tất cả sản phẩm",Không hiển thị SP nào,Failed,Manual,QA Team,7/31/2026,Product Flow,"1. Vào trang chi tiết sản phẩm
2. Click tab Đánh giá & Bình luận
3. Kéo xuống đọc các Review cũ
4. Xác minh hiển thị tên người Đánh giá",N/A,
TC_ST_PROD_12,Hiển thị Tab Thương hiệu,"Chuyển sang tab Thương hiệu, hiển thị đúng tất cả sản phẩm",Không hiển thị SP nào,Failed,Manual,QA Team,7/31/2026,Product Flow,"1. Vào trang chi tiết sản phẩm
2. Click tab Đánh giá & Bình luận
3. Kéo xuống đọc các Review cũ
4. Xác minh hiển thị tên người Đánh giá",N/A,
TC_ST_CART_01,Thêm 1 SP vào giỏ,Badge tăng lên 1,"Mini cart update đúng, hiện Toast",Passed,Manual,QA Team,7/31/2026,Cart,"1. Vào trang chi tiết
2. Chọn Size
3. Bấm Thêm vào giỏ
4. Kiểm tra Badge",Size=39,
TC_ST_CART_02,Thêm SP vào giỏ nhưng không chọn Size,Frontend báo lỗi yêu cầu chọn Size,Báo lỗi đúng,Passed,Manual,QA Team,7/31/2026,Cart Flow,"1. Mở trang Chi tiết Sản phẩm
2. Không bấm chọn Size nào cả
3. Bấm ngay nút ""Thêm vào giỏ""
4. Xác minh Frontend cảnh báo ""Vui lòng chọn Kích cỡ""",N/A,
TC_ST_CART_03,Thêm số lượng lớn hơn tồn kho,Báo lỗi không đủ tồn kho,Chỉ tăng được đến số lượng tối đa trong kho nhưng không có thông báo,Failed,Manual,QA Team,7/31/2026,Cart Flow,"1. Kiểm tra SP trong kho (còn đúng 5 cái)
2. Trên giao diện, sửa số lượng (Quantity) thành 10
3. Bấm ""Thêm vào giỏ""
4. Quan sát xem hệ thống có chặn lại ngay lập tức không",Qty=10,BUG_ST_009: API AddToCart không validate max_quantity (Tồn kho)
TC_ST_CART_04,Cập nhật số lượng trong giỏ,Tổng tiền thay đổi realtime,Thay đổi đúng,Passed,Manual,QA Team,7/31/2026,Cart Flow,"1. Mở giao diện Giỏ hàng (Cart)
2. Bấm nút [+] để tăng số lượng SP từ 1 lên 2
3. Theo dõi mục Tổng Tiền Tạm Tính
4. Xác nhận Tổng tiền nhân đôi",Qty=2,
TC_ST_CART_05,Xóa 1 SP khỏi giỏ,"SP biến mất, tổng tiền giảm",Xóa đúng,Passed,Manual,QA Team,7/31/2026,Cart Flow,"1. Mở Giỏ hàng có sẵn 2 sản phẩm khác nhau
2. Click nút Thùng rác (Xóa) ở SP đầu tiên
3. Chờ API xử lý xong
4. Kiểm tra giỏ hàng chỉ còn 1 SP",N/A,
TC_ST_CART_06,Xóa toàn bộ giỏ hàng,Giỏ trống,Xóa đúng,Passed,Manual,QA Team,7/31/2026,Cart Flow,"1. Vào giỏ hàng
2. Bấm nút ""Xóa tất cả""
3. Chấp nhận hộp thoại Confirm
4. Giao diện báo Giỏ hàng trống",N/A,
TC_ST_COUT_02,Vào trang Checkout có sẵn địa chỉ,Auto điền địa chỉ Default,Điền đúng,Passed,Manual,QA Team,7/31/2026,Checkout Flow,"1. Dùng User đã lưu địa chỉ Default
2. Vào màn hình Checkout
3. Kiểm tra mục Địa chỉ giao hàng
4. Xác minh data auto-fill chính xác",N/A,
TC_ST_COUT_03,Đặt hàng COD thành công,"Sinh Order, clear Cart, chuyển trang Success","Sinh Order, clear Cart, chuyển trang Success",Passed,Manual,QA Team,7/31/2026,Checkout Flow,"1. Bấm Thanh Toán
2. Chọn phương thức Thanh toán khi nhận hàng (COD)
3. Bấm Đặt Hàng
4. Hệ thống chuyển sang trang Checkout Success và trả về Mã đơn",COD,
TC_ST_COUT_04,Thanh toán VNPay thành công,"Chuyển cổng VNPay, thanh toán, redirect về trang Success","Chuyển cổng VNPay, thanh toán, redirect về trang Success",Passed,Manual,QA Team,7/31/2026,Checkout Flow,"1. Chọn phương thức thanh toán VNPay
2. Bấm Đặt hàng, hệ thống nhảy sang domain Sandbox của VNPay
3. Nhập số thẻ ngân hàng test (NCB)
4. Bấm Xác nhận OTP và chờ văng lại về trang Web The Xuong (Status: PAID)",VNPay,
TC_ST_COUT_05,Hủy thanh toán VNPay giữa chừng,"Order = PENDING, thông báo thanh toán thất bại","Order = PENDING, thông báo thanh toán thất bại",Passed,Manual,QA Team,7/31/2026,Checkout Flow,"1. Bấm Thanh toán VNPay
2. Sang tới trang VNPay thì bấm Hủy Giao Dịch
3. VNPay redirect ngược lại web
4. Web báo Giao dịch thất bại, Đơn hàng được giữ nguyên trạng thái Chờ thanh toán",VNPay Cancel,
TC_ST_COUT_06,Dùng Back trình duyệt sau khi VNPay Success,Không bị duplicate order,Không bị duplicate order,Passed,Manual,QA Team,7/31/2026,Checkout Flow,"1. Hoàn tất thanh toán VNPay thành công (Đứng ở trang Success)
2. Bấm nút Quay Lại (Back) trên Trình duyệt
3. Quay về màn Checkout cũ, bấm nút Đặt Hàng lần 2
4. Kiểm tra DB xem bị sinh mấy mã đơn",VNPay,BUG_ST_001: Lỗi Duplicate Order khi dùng tính năng Back của Browser
TC_ST_COUT_01,Checkout bắt buộc địa chỉ,Phải có ô địa chỉ giao hàng,Phải có ô địa chỉ giao hàng,Passed,Manual,QA Team,7/31/2026,Checkout,"1. Vào Checkout
2. Tìm form Địa chỉ
3. Kiem tra form",,
TC_ST_COUT_08,Áp dụng Voucher hết hạn,Báo lỗi Voucher hết hạn,Báo lỗi đúng,Passed,Manual,QA Team,7/31/2026,Checkout Flow,"1. Kiếm 1 mã Voucher đã Expired
2. Nhập vào ô Giảm Giá lúc Checkout
3. Bấm Áp Dụng
4. Đảm bảo UI báo mã không hợp lệ, không cho trừ tiền",EXPIRED,
TC_ST_COUT_09,Concurrency: 2 khách mua sản phẩm cuối,Khách bấm thanh toán sau bị lỗi hết hàng,"Lỗi văng HTTP 500 thay vì thông báo ""Sản phẩm đã hết""",Failed,Manual,QA Team,7/31/2026,Checkout Flow,"1. Đặt Tồn kho = 1. Mở 2 trình duyệt cho 2 User khác nhau
2. Cả 2 cùng bỏ chung 1 sản phẩm vào giỏ và đi tới trang Checkout
3. Bấm nút Đặt hàng gần như cùng một tích tắc
4. Quan sát 1 người thành công, người còn lại văng HTTP 500 (Unhandled Optimistic Lock)",Qty=1,"BUG_ST_010: Xử lý Concurrency kém, Exception 500 ném ra màn hình người dùng"
TC_ST_LOYALTY_01,Nhận điểm sau khi mua COD,"Chưa nhận điểm ngay, phải chờ đơn COMPLETED",Chưa cộng điểm (đúng),Passed,Manual,QA Team,7/31/2026,Loyalty Flow,"1. Đặt 1 đơn hàng COD trị giá 1 triệu
2. Check ví điểm của User
3. Xác minh ví điểm CHƯA CỘNG NGAY",COD,
TC_ST_LOYALTY_02,Nhận điểm sau khi đơn COMPLETED,Cộng 1% giá trị đơn,"Chỉ cộng điểm khi người dùng bấm xác nhận hoàn thành, còn admin bấm complete thì người dùng không được cộng điểm",Failed,Manual,QA Team,7/31/2026,Loyalty Flow,"1. Dùng Admin đổi status đơn 1 triệu thành COMPLETED
2. Load lại trang Profile User
3. Xác minh ví điểm tăng thêm đúng tỷ lệ (ví dụ: +10.000 điểm)",Admin action,
TC_ST_LOYALTY_03,Thăng hạng VIP,Tích đủ 50 điểm hoặc chi tiêu 5000000đ lên hạng VIP,Lên hạng VIP đúng,Passed,Manual,QA Team,7/31/2026,Loyalty Flow,"1. Bơm tay vào DB hoặc thực hiện mua nhiều đơn để user có tổng điểm > 10.000
2. Đợi Background Job chạy (nếu có) hoặc F5 trang Profile
3. Kiểm tra Badge Hạng thành viên đổi từ BRONZE sang SILVER
4. Xác minh giao diện đổi màu","10,000 pts",
TC_ST_LOYALTY_04,Đổi điểm lấy Voucher,"Trừ điểm, Voucher vào kho",Đổi đúng,Passed,Manual,QA Team,7/31/2026,Loyalty Flow,"1. Vào trang Quản lý Điểm Thưởng
2. Bấm Đổi 100 điểm lấy Voucher Freeship
3. Kiểm tra ví điểm bị trừ đi 100
4. Kiểm tra Kho Voucher của User sinh ra mã Freeship mới",100 pts,
TC_ST_LOYALTY_06,Dùng voucher vừa đổi,"Apply thành công, trừ tiền",Trừ tiền thành công,Passed,Manual,QA Team,7/31/2026,Loyalty Flow,"1. Copy mã Voucher vừa đổi ở TC trên
2. Mở Giỏ Hàng -> Checkout
3. Điền Voucher vào và Bấm Apply
4. Đảm bảo Đơn hàng áp dụng đúng chính sách Freeship",Voucher Code,
TC_ST_LOYALTY_09,Xem danh sách voucher của tôi,Liệt kê đủ voucher chưa dùng,List đủ,Passed,Manual,QA Team,7/31/2026,Loyalty Flow,"1. Truy cập /profile/vouchers
2. Quan sát danh sách mã giảm giá
3. Đảm bảo chỉ hiện Voucher ""ACTIVE"" (chưa xài)",N/A,
TC_ST_LOYALTY_10,Voucher hết hạn tự động biến mất,Cronjob chạy tự đổi status,Cronjob chạy chuẩn,Passed,Manual,QA Team,7/31/2026,Loyalty Flow,"1. Sửa DB (Chỉnh Expired Date của Voucher về Ngày hôm qua)
2. Khởi động lại Spring Boot để Cronjob chạy
3. Load lại trang /profile/vouchers
4. Đảm bảo mã Voucher đó biến mất",Cronjob,
TC_ST_UORD_01,Xem danh sách đơn hàng,Hiện list các đơn đã đặt,Hiện list chuẩn,Passed,Manual,QA Team,7/31/2026,User Order Flow,"1. Truy cập trang ""Đơn hàng của tôi""
2. Load danh sách
3. Check xem hiển thị đủ 3 Đơn hàng vừa đặt trong quá trình Test",N/A,
TC_ST_UORD_02,Xem chi tiết đơn,"Hiện giá tiền, sp, địa chỉ",Hiện chuẩn,Passed,Manual,QA Team,7/31/2026,User Order Flow,"1. Trong danh sách Đơn, Click vào Mã Đơn Hàng
2. Kiểm tra Timeline Status giao hàng
3. Kiểm tra Số lượng SP, Tổng Tiền có khớp ban đầu không",N/A,
TC_ST_UORD_03,User tự hủy đơn PENDING,"Đơn sang CANCELLED, kho cộng lại","Hủy thành công, tồn kho phục hồi",Passed,Manual,QA Team,7/31/2026,User Order Flow,"1. Vào 1 đơn hàng mới tinh (Trạng thái Chờ Xử Lý / PENDING)
2. Bấm nút Hủy Đơn
3. Kiểm tra Status Đơn hàng nhảy sang Hủy
4. Kiểm tra Tồn kho của đôi Giày tăng lại 1 đôi",Status PENDING,
TC_ST_UORD_04,User thử hủy đơn DELIVERING,Không có nút Hủy hoặc báo lỗi,Báo lỗi đúng,Passed,Manual,QA Team,7/31/2026,User Order Flow,"1. Chọn đơn hàng đang có trạng thái Đang Giao (DELIVERING)
2. Giao diện bị giấu Nút Hủy.
3. Dùng Postman bắn thẳng API Hủy Đơn
4. Nhận mã lỗi 400 (Không thể hủy đơn đang giao)",Status DELIVERING,
TC_ST_UORD_06,Viết đánh giá sản phẩm sau khi mua,Chỉ đánh giá được đơn COMPLETED,Chưa có chức năng đánh giá,Passed,Manual,QA Team,7/31/2026,User Order Flow,"1. Vào Đơn Hàng COMPLETED
2. Bấm nút Viết Đánh Giá
3. Nhập ""Giày rất đẹp"", chọn 5 sao
4. Đăng tải và xác minh ngoài trang SP",5 sao,
TC_ST_UORD_07,Cố tình đánh giá đơn CANCELLED,Báo lỗi không có quyền đánh giá,Chưa có chức năng đánh giá,Failed,Manual,QA Team,7/31/2026,User Order Flow,"1. Dùng Postman viết JSON Đánh Giá
2. Bắn API Post Review vào 1 Đơn Hàng CANCELLED
3. Xác minh API chặn không cho Đánh giá hàng chưa mua",CANCELLED,
TC_ST_UORD_08,Viết đánh giá chứa mã HTML độc (XSS),Mã HTML bị escape,Chưa có chức năng đánh giá,Failed,Manual,QA Team,7/31/2026,User Order Flow,"1. Trong form Đánh giá, gõ Payload XSS ( <script>alert(""Hack!"")</script> )
2. Bấm Đăng bình luận
3. Load lại trang sản phẩm
4. Trình duyệt hiện Popup Cảnh báo ảo -> Backend quên escape chuỗi HTML",XSS Script,BUG_ST_012: Dính lỗi bảo mật XSS trong phần Comment Đánh Giá
TC_ST_AORD_01,Xem danh sách tất cả đơn hàng,Admin thấy toàn bộ đơn,Admin load được toàn bộ,Passed,Manual,QA Team,7/31/2026,Admin Order,"1. Đăng nhập quyền Admin
2. Truy cập /admin/orders
3. Kiểm tra xem có lấy được đơn của User thường không",N/A,
TC_ST_AORD_02,Duyệt đơn PENDING -> DELIVERING,"Status đổi thành công, User nhận Notification",Đổi status thành công,Passed,Manual,QA Team,7/31/2026,Admin Order,"1. Chọn đơn PENDING
2. Bấm Thay Đổi Trạng Thái
3. Chọn DELIVERING, Save
4. Sang tab User check xem Đơn đã nhảy trạng thái chưa",N/A,
TC_ST_AORD_03,Hủy đơn VNPay đã PAID,"Đơn bị hủy, trả kho, Refund tiền VNPay","Đơn hủy, trả kho, nhưng API Refund VNPay không được gọi",Failed,Manual,QA Team,7/31/2026,Admin Order,"1. Admin chọn 1 Đơn hàng thanh toán VNPay
2. Bấm Đổi Trạng Thái -> Hủy Bỏ
3. Hệ thống đổi trạng thái Database thành công
4. Soi Log Console không thấy Call API Refund sang VNPay",N/A,BUG_ST_002: Lỗi Admin hủy đơn nhưng quên hoàn tiền VNPay tự động
TC_ST_AORD_04,Xem Dashboard Thống kê,Biểu đồ load doanh thu,Load đủ biểu đồ,Passed,Manual,QA Team,7/31/2026,Admin Stat,"1. Truy cập /admin/dashboard
2. Chọn Bộ lọc 30 ngày qua
3. Kiểm tra Canvas Biểu đồ vẽ đúng Doanh thu (Line chart)",N/A,
TC_ST_AORD_05,Xuất báo cáo Doanh thu ra Excel,Tải file .xlsx,Không tìm thấy chức năng xuất Excel trên giao diện và Backend,Failed,Manual,QA Team,7/31/2026,Admin Stat,"1. Truy cập /admin/dashboard
2. Cố gắng tìm Nút bấm ""Export Excel""
3. Tìm mỏi mắt không thấy nút
4. Check code backend không có hàm Export",N/A,BUG_ST_014: Thiếu tính năng xuất báo cáo (Missing Feature)
TC_ST_APROD_01,Thêm sản phẩm mới (có biến thể),Lưu vào DB kèm bảng Inventory,Thêm được nhưng không load được phần chọn size/biến thể và không có chỗ nhập số lượng,Failed,Manual,QA Team,7/31/2026,Admin Product,"1. Truy cập /admin/products/create
2. Điền tên: Giày ABC
3. Thêm 2 Size: 41, 42 (số lượng 50, 50)
4. Bấm Lưu và Ra màn hình User kiểm tra",Giày mới,
TC_ST_APROD_03,Thêm/Sửa User,"User xuất hiện trong list, sửa được user",Không hiển thị danh sách User,Failed,Manual,QA Team,7/31/2026,Admin Brand,"1. Truy cập /admin/users
2. Thêm User: 
3. Bấm Lưu
4. Trở lại  kiểm tra Dropdown User có user mới chưa",N/A,
TC_ST_AUSER_01,Khóa User thường (Ban),User bị văng ra khỏi hệ thống,Khóa thành công,Passed,Manual,QA Team,7/31/2026,Admin User,"1. Vào /admin/users
2. Chọn 1 User Thường
3. Bấm Nút Ban (Khóa account)
4. Mở Tab ẩn danh, dùng User đó login thử -> Bị từ chối",User ID,
TC_ST_AUSER_02,Thử khóa 1 Admin khác,Báo lỗi không có quyền khóa Admin,Vẫn khóa hay xóa được,Failed,Manual,QA Team,7/31/2026,Admin User,"1. Vẫn ở màn /admin/users
2. Chọn 1 tài khoản có Role = ADMIN
3. Cố tình bấm nút Khóa
4. Xác minh hệ thống báo lỗi 403",Admin ID,
TC_ST_ACONT_01,Thêm bài Blog mới,Bài viết hiển thị ra Public,Không tìm thấy menu quản lý Blog trên trang Admin,Failed,Manual,QA Team,7/31/2026,Admin Blog,"1. Truy cập Admin Panel
2. Tìm thanh công cụ Quản lý Bài Viết / Blog
3. Không có Module này tồn tại
4. Đánh Fail vì chức năng chưa code",Text,BUG_ST_015: Thiếu module quản lý Blog (Missing Feature)
TC_ST_ACONT_02,Sửa Banner trang chủ,Banner update ngay lập tức,Không tìm thấy menu quản lý Banner,Failed,Manual,QA Team,7/31/2026,Admin Banner,"1. Truy cập Admin Panel
2. Tìm thanh công cụ Quản lý Banner / Ads
3. Chức năng chưa được Code
4. Đánh Fail",Img URL,BUG_ST_016: Thiếu module quản lý Banner (Missing Feature)
TC_ST_AVOUCH_01,Thêm Voucher giảm giá %,"Voucher lưu DB, xuất hiện trong list",Thành công,Passed,Manual,QA Team,7/31/2026,Admin Voucher,"1. Vào Admin / Vouchers
2. Tạo Voucher GIAM10PT, giảm 10%, max 50k
3. Bấm Lưu
4. Lấy acc User test thử áp mã vào đơn hàng 1 triệu",10%,
TC_ST_AVOUCH_02,Thêm Voucher giảm giá Fix,Voucher lưu DB,Thành công,Passed,Manual,QA Team,7/31/2026,Admin Voucher,"1. Vào Admin / Vouchers
2. Tạo Voucher TRU50K, trừ thẳng 50.000đ
3. Bấm Lưu
4. Lấy acc User test thử áp mã",50k,
TC_ST_AUDIT_01,Kiểm tra Audit Log,Hành động duyệt đơn được lưu vào Log,Chưa có giao diện Audit log,Passed,Manual,QA Team,7/31/2026,Audit Log,"1. Lấy Admin 1 thực hiện Duyệt Đơn Hàng
2. Lấy Admin 2 vào trang Audit Logs
3. Đọc log xem có lưu dòng: ""Admin 1 đã đổi status đơn XYZ""
4. Xác minh dữ liệu chuẩn",N/A,
TC_ST_EXT_01,Chatbot AI trả lời đúng ngữ cảnh,Trả lời thông tin giày,Thành công,Failed,Manual,QA Team,7/31/2026,Chatbot,"1. Mở trang chủ, click icon Chatbot
2. Nhập câu hỏi ""Tôi muốn tìm giày chạy bộ""
3. Đợi vài giây
4. Đọc câu trả lời xem Bot có link ra list giày chạy không",Nike,
TC_ST_EXT_02,Email hóa đơn gửi thành công,Gửi email cho KH,Gửi email nhưng bị vỡ font Tiếng Việt,Failed,Manual,QA Team,7/31/2026,Email,"1. Thực hiện Đặt hàng (Checkout) thành công
2. Mở hộp thư Mailtrap
3. Xem nội dung file HTML của Email
4. Các chữ có dấu Tiếng Việt hiển thị thành ô vuông (Lỗi Encoding)",N/A,BUG_ST_005: UTF8 Encoding error (Thiếu cấu hình UTF8 lúc build mail)
TC_ST_EXT_03,Telegram Bot nhận Notification đơn hàng,Bắn tin nhắn sang Telegram Group,"Không nhận được tin nhắn, source code backend hoàn toàn không có file tích hợp Telegram",Failed,Manual,QA Team,7/31/2026,Telegram,"1. Cấu hình Telegram Token vào môi trường
2. Đặt Đơn Hàng thành công
3. Mở App Telegram
4. Đợi 5 phút không thấy tiếng ting ting. Soi Source Code phát hiện chưa hề làm hàm bắn Bot API",N/A,BUG_ST_017: Backend chưa code tích hợp Telegram Bot API (Missing Feature)
TC_ST_EXT_04,Bản đồ chọn địa chỉ hoạt động,Gợi ý Tỉnh/Thành/Quận/Huyện,Load chuẩn dữ liệu Hành chính,Passed,Manual,QA Team,7/31/2026,Maps API,"1. Vào phần Sổ địa chỉ -> Tạo mới
2. Click Dropdown Tỉnh/Thành
3. Bấm chọn Hà Nội
4. Đảm bảo Dropdown Quận Huyện tự động load các quận của Hà Nội",N/A,
